,Unnamed: 0.1,Unnamed: 0,date,new_cases,new_deaths,new_tests
0,0,0,2019-12-31,0.0,0.0,
1,1,1,2020-01-01,0.0,0.0,
2,2,2,2020-01-02,0.0,0.0,
3,3,3,2020-01-03,0.0,0.0,
4,4,4,2020-01-04,0.0,0.0,
5,5,5,2020-01-05,0.0,0.0,
6,6,6,2020-01-06,0.0,0.0,
7,7,7,2020-01-07,0.0,0.0,
8,8,8,2020-01-08,0.0,0.0,
9,9,9,2020-01-09,0.0,0.0,
10,10,10,2020-01-10,0.0,0.0,
11,11,11,2020-01-11,0.0,0.0,
12,12,12,2020-01-12,0.0,0.0,
13,13,13,2020-01-13,0.0,0.0,
14,14,14,2020-01-14,0.0,0.0,
15,15,15,2020-01-15,0.0,0.0,
16,16,16,2020-01-16,0.0,0.0,
17,17,17,2020-01-17,0.0,0.0,
18,18,18,2020-01-18,0.0,0.0,
19,19,19,2020-01-19,0.0,0.0,
20,20,20,2020-01-20,0.0,0.0,
21,21,21,2020-01-21,0.0,0.0,
22,22,22,2020-01-22,0.0,0.0,
23,23,23,2020-01-23,0.0,0.0,
24,24,24,2020-01-24,0.0,0.0,
25,25,25,2020-01-25,0.0,0.0,
26,26,26,2020-01-26,0.0,0.0,
27,27,27,2020-01-27,0.0,0.0,
28,28,28,2020-01-28,0.0,0.0,
29,29,29,2020-01-29,0.0,0.0,
30,30,30,2020-01-30,0.0,0.0,
31,31,31,2020-01-31,3.0,0.0,
32,32,32,2020-02-01,0.0,0.0,
33,33,33,2020-02-02,0.0,0.0,
34,34,34,2020-02-03,0.0,0.0,
35,35,35,2020-02-04,0.0,0.0,
36,36,36,2020-02-05,0.0,0.0,
37,37,37,2020-02-06,0.0,0.0,
38,38,38,2020-02-07,0.0,0.0,
39,39,39,2020-02-08,0.0,0.0,
40,40,40,2020-02-09,0.0,0.0,
41,41,41,2020-02-10,0.0,0.0,
42,42,42,2020-02-11,0.0,0.0,
43,43,43,2020-02-12,0.0,0.0,
44,44,44,2020-02-13,0.0,0.0,
45,45,45,2020-02-14,0.0,0.0,
46,46,46,2020-02-15,0.0,0.0,
47,47,47,2020-02-16,0.0,0.0,
48,48,48,2020-02-17,0.0,0.0,
49,49,49,2020-02-18,0.0,0.0,
50,50,50,2020-02-19,0.0,0.0,
51,51,51,2020-02-20,0.0,0.0,
52,52,52,2020-02-21,0.0,0.0,
53,53,53,2020-02-22,14.0,0.0,
54,54,54,2020-02-23,62.0,2.0,
55,55,55,2020-02-24,53.0,0.0,
56,56,56,2020-02-25,97.0,4.0,
57,57,57,2020-02-26,93.0,5.0,
58,58,58,2020-02-27,78.0,1.0,
59,59,59,2020-02-28,250.0,5.0,
60,60,60,2020-02-29,238.0,4.0,
61,61,61,2020-03-01,240.0,8.0,
62,62,62,2020-03-02,561.0,6.0,
63,63,63,2020-03-03,347.0,17.0,
64,64,64,2020-03-04,466.0,28.0,
65,65,65,2020-03-05,587.0,27.0,
66,66,66,2020-03-06,769.0,41.0,
67,67,67,2020-03-07,778.0,49.0,
68,68,68,2020-03-08,1247.0,36.0,
69,69,69,2020-03-09,1492.0,133.0,
70,70,70,2020-03-10,1797.0,98.0,
71,71,71,2020-03-11,977.0,167.0,
72,72,72,2020-03-12,2313.0,196.0,
73,73,73,2020-03-13,2651.0,189.0,
74,74,74,2020-03-14,2547.0,252.0,
75,75,75,2020-03-15,3497.0,173.0,
76,76,76,2020-03-16,2823.0,370.0,
77,77,77,2020-03-17,4000.0,347.0,
78,78,78,2020-03-18,3526.0,347.0,
79,79,79,2020-03-19,4207.0,473.0,
80,80,80,2020-03-20,5322.0,429.0,
81,81,81,2020-03-21,5986.0,625.0,
82,82,82,2020-03-22,6557.0,795.0,
83,83,83,2020-03-23,5560.0,649.0,
84,84,84,2020-03-24,4789.0,601.0,
85,85,85,2020-03-25,5249.0,743.0,
86,86,86,2020-03-26,5210.0,685.0,
87,87,87,2020-03-27,6153.0,660.0,
88,88,88,2020-03-28,5959.0,971.0,
89,89,89,2020-03-29,5974.0,887.0,
90,90,90,2020-03-30,5217.0,758.0,
91,91,91,2020-03-31,4050.0,810.0,
92,92,92,2020-04-01,4053.0,839.0,
93,93,93,2020-04-02,4782.0,727.0,
94,94,94,2020-04-03,4668.0,760.0,
95,95,95,2020-04-04,4585.0,764.0,
96,96,96,2020-04-05,4805.0,681.0,
97,97,97,2020-04-06,4316.0,527.0,
98,98,98,2020-04-07,3599.0,636.0,
99,99,99,2020-04-08,3039.0,604.0,
100,100,100,2020-04-09,3836.0,540.0,
101,101,101,2020-04-10,4204.0,612.0,
102,102,102,2020-04-11,3951.0,570.0,
103,103,103,2020-04-12,4694.0,619.0,
104,104,104,2020-04-13,4092.0,431.0,
105,105,105,2020-04-14,3153.0,564.0,
106,106,106,2020-04-15,2972.0,604.0,
107,107,107,2020-04-16,2667.0,578.0,
108,108,108,2020-04-17,3786.0,525.0,
109,109,109,2020-04-18,3493.0,575.0,
110,110,110,2020-04-19,3491.0,480.0,
111,111,111,2020-04-20,3047.0,433.0,7841.0
112,112,112,2020-04-21,2256.0,454.0,28095.0
113,113,113,2020-04-22,2729.0,534.0,44248.0
114,114,114,2020-04-23,3370.0,437.0,37083.0
115,115,115,2020-04-24,2646.0,464.0,95273.0
116,116,116,2020-04-25,3021.0,420.0,38676.0
117,117,117,2020-04-26,2357.0,415.0,24113.0
118,118,118,2020-04-27,2324.0,260.0,26678.0
119,119,119,2020-04-28,1739.0,333.0,37554.0
